fecha,hashrate,vatios,mineros,placas
2026-08-27 18:01,0,0,0,0
2026-08-27 18:22,0,0,0,0
2026-08-27 18:31,0,0,0,0
2026-08-27 18:41,0,0,0,0
2026-08-27 18:51,0,0,0,0
